sentimiento;comentario
negativo;Es ridículo que los supermercados Gama no tengan efectivo! Esto es un gran problema para muchos de nosotros. #SupermercadosGama #FaltaDeEfect
positivo;El gama es muy fiable y ofrece una excelente relación calidad-precio.
neutro;deberian mejorar los servicios, pero buen mercado
negativo;¡La falta de efectivo de los supermercados Gama es un desastre! ¿Cómo puedo pagar si no hay efectivo disponible? #SupermercadosGama #FaltaDeEfectivo
positivo;El gama es una buena opción para aquellos que buscan algo asequible sin sacrificar la calidad.
neutro;no tengo una opinion definida sobre los supermercados gama
negativo;¡No puedo creer que los supermercados Gama no tengan efectivo! Esto es un gran problema para muchos de nosotros. #SupermercadosGama #FaltaDeEfectivo
positivo;El gama ofrece una excelente relación calidad-precio, y es una buena opción para aquellos que quieran un producto de calidad a un precio asequible.
neutro;no me importa mucho todo lo que pase en los Gama
negativo;¿Cómo puedo pagar la compra si los supermercados Gama no tienen efectivo? Esto es inaceptable. #SupermercadosGama #FaltaDeEfectivo
positivo;El gama es una buena opción para aquellos que buscan algo fiable que no sacrifique la calidad.
neutro;no se que pensar sobre los precios del gama la verdad
negativo;¡Estoy cansado de la falta de efectivo en los supermercados Gama! ¿No hay otra manera de pagar? #SupermercadosGama #FaltaDeEfectivo
positivo;El gama ofrece una gran cantidad de características a un precio asequible, lo que lo hace una excelente opción para aquellos que buscan una solución funcional a un precio asequible.
neutro;los precios del gama me dan igual
negativo;Las cotizaciones de las divisas no son confiables.
positivo;El gama es una gran opción para aquellos que buscan una solución de calidad a un precio asequible.
neutro;el gama de la tahona le falta aceo pero por lo demas esta bien 
negativo;Los cambios de divisa son demasiado lentos.
positivo;El gama es una buena opción para aquellos que buscan una solución fiable a un precio asequible.
neutro;Sin duda hay muchas formas de ver esto. de forma positiva o negativa todo al final quedara en perspectiva
negativo;No hay suficiente liquidez en el mercado de divisas.
positivo;El personal de los supermercados Gama está altamente capacitado y siempre está listo para ayudar a los clientes.
neutro;el costo de los productos del gama son 50/50
negativo;La tasa de interés no está sujeta a cambios.
positivo;El personal de los supermercados Gama se esfuerza por ofrecer un servicio excepcional a sus clientes.
neutro;los productos son buenos pero el precio  hace dificil de decidir 
negativo;deberia empezar a valorar mi dinero 
positivo;claro que si, mis compras en gama siempre son satisfactorias
neutro;Los productos de la gama están diseñados para satisfacer las necesidades de los usuarios pero tienen sobrecosto malo.
